Company,Region ID,Tag ID,Grade ID,Variety ID,Commodity ID,First Receive Date,Warehouse Location,Room/Row ID,Commodity ID.1,Size ID,Grade ID.1,Style ID,Method ID,On Hand Quantity
"KINGS RIVER PACKING, LP",USA,8416473,FANCY,,PUMMELO,2024-10-23,COBBLESTONE,P-A13,PUMMELO,8,FANCY,BIN,BIN,0.75
"KINGS RIVER PACKING, LP",USA,8416477,FANCY,,PUMMELO,2024-10-23,COBBLESTONE,P-A13,PUMMELO,8,FANCY,BIN,BIN,0.8
"KINGS RIVER PACKING, LP",USA,8492878,FANCY,CLEMENTINE,MANDARIN,2024-11-19,COBBLESTONE,P-A26,MANDARIN,18,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8495199,CHOICE,LISBON,LEMON,2024-11-19,COBBLESTONE,P-A22,LEMON,235,CHOICE,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8495200,CHOICE,LISBON,LEMON,2024-11-19,COBBLESTONE,P-A22,LEMON,235,CHOICE,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8495201,CHOICE,LISBON,LEMON,2024-11-19,COBBLESTONE,P-A22,LEMON,235,CHOICE,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8495202,CHOICE,LISBON,LEMON,2024-11-19,COBBLESTONE,P-A22,LEMON,235,CHOICE,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8496764,CHOICE,LISBON,LEMON,2024-11-20,COBBLESTONE,P-A22,LEMON,235,CHOICE,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8520881,FANCY,EUREKA,LEMON,2024-11-26,COBBLESTONE,P-A25,LEMON,63,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8520882,FANCY,EUREKA,LEMON,2024-11-26,COBBLESTONE,P-A25,LEMON,63,FANCY,BIN,BIN,0.25
"KINGS RIVER PACKING, LP",USA,8528314,FANCY,LISBON,LEMON,2024-11-29,COBBLESTONE,P-A19,LEMON,140,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8531464,FANCY,LISBON,LEMON,2024-11-29,COBBLESTONE,P-A25,LEMON,63,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8531465,FANCY,LISBON,LEMON,2024-11-29,COBBLESTONE,P-A25,LEMON,63,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8531466,FANCY,LISBON,LEMON,2024-11-29,COBBLESTONE,P-A25,LEMON,63,FANCY,BIN,BIN,0.75
"KINGS RIVER PACKING, LP",USA,8539043,FANCY,LISBON,LEMON,2024-12-02,COBBLESTONE,P-A56,LEMON,63,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8542329,FANCY,LISBON,LEMON,2024-12-03,COBBLESTONE,P-A30,LEMON,95,FANCY,BIN,BIN,0.25
"KINGS RIVER PACKING, LP",USA,8544338,CHOICE,LISBON,LEMON,2024-12-03,COBBLESTONE,P-A44,LEMON,115,CHOICE,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8544340,CHOICE,LISBON,LEMON,2024-12-03,COBBLESTONE,P-A44,LEMON,115,CHOICE,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8544341,CHOICE,LISBON,LEMON,2024-12-03,COBBLESTONE,P-A44,LEMON,115,CHOICE,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8544356,CHOICE,LISBON,LEMON,2024-12-03,COBBLESTONE,P-A44,LEMON,115,CHOICE,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8544450,CHOICE,LISBON,LEMON,2024-12-03,COBBLESTONE,P-A44,LEMON,115,CHOICE,BIN,BIN,0.8
"KINGS RIVER PACKING, LP",USA,8546385,CHOICE,EUREKA,LEMON,2024-12-04,COBBLESTONE,P-A56,LEMON,115,CHOICE,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8546544,CHOICE,EUREKA,LEMON,2024-12-04,COBBLESTONE,P-A44,LEMON,115,CHOICE,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8546545,CHOICE,EUREKA,LEMON,2024-12-04,COBBLESTONE,P-A44,LEMON,115,CHOICE,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8546546,CHOICE,EUREKA,LEMON,2024-12-04,COBBLESTONE,P-A44,LEMON,115,CHOICE,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8547011,FANCY,EUREKA,LEMON,2024-12-04,COBBLESTONE,P-A25,LEMON,63,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8547012,FANCY,EUREKA,LEMON,2024-12-04,COBBLESTONE,P-A25,LEMON,63,FANCY,BIN,BIN,0.75
"KINGS RIVER PACKING, LP",USA,8552711,FANCY,LISBON,LEMON,2024-12-05,COBBLESTONE,P-A23,LEMON,115,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8552845,FANCY,LISBON,LEMON,2024-12-06,COBBLESTONE,P-A25,LEMON,63,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8554482,FANCY,CLEMENTINE,MANDARIN,2024-12-06,COBBLESTONE,P-A40,MANDARIN,18,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8554721,FANCY,CLEMENTINE,MANDARIN,2024-12-06,COBBLESTONE,P-A61,MANDARIN,40,FANCY,BIN,BIN,0.25
"KINGS RIVER PACKING, LP",USA,8556538,FANCY,CLEMENTINE,MANDARIN,2024-12-06,COBBLESTONE,P-A36,MANDARIN,28,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8556539,FANCY,CLEMENTINE,MANDARIN,2024-12-06,COBBLESTONE,P-A36,MANDARIN,28,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8557458,FANCY,LISBON,LEMON,2024-12-06,COBBLESTONE,P-A27,LEMON,200,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8557545,FANCY,LISBON,LEMON,2024-12-07,COBBLESTONE,P-A27,LEMON,200,FANCY,BIN,BIN,1.0
